"crash_date_time","collision_type","weather","surface_condition","light","driver_at_fault","injury_severity","vehicle_first_impact_location","vehicle_body_type","vehicle_movement","vehicle_going_dir","speed_limit","vehicle_year","vehicle_make","vehicle_model","latitude","longitude","location"
"09/27/2024 05:00:00 AM","Front to Rear","Rain","Wet","Dark - Lighted","No","Possible Injury","Six O Clock","Passenger Car","Changing Lanes","Southbound","55","2007","TOYOTA","CAMRY","39.09542834","-76.93829799","(39.09542834, -76.93829799)"
"09/26/2024 06:17:00 PM","Front to Rear","Clear","Dry","Dusk","Yes","No Apparent Injury","Twelve O Clock","Van - Cargo","Slowing or Stopping","Westbound","35","2018","CHEVROLET","EXPRESS","38.98959903","-77.15020168","(38.98959903, -77.15020168)"
"09/26/2024 04:20:00 PM","Angle","Clear","Dry","Daylight","Yes","No Apparent Injury","One O Clock","Passenger Car","Accelerating","Eastbound","20","2016","HYUNDAI","SANTA FE","39.18205955","-77.26521278","(39.18205955, -77.26521278)"
"09/26/2024 03:10:00 PM","Sideswipe, Same Direction","Clear","Dry","Daylight","No","No Apparent Injury","Four O Clock","Passenger Car","Moving Constant Speed","Eastbound","35","2024","SUBARU","FORESTER","39.01918006","-77.01205996","(39.01918006, -77.01205996)"
"09/26/2024 01:03:00 PM","Angle","Cloudy","Dry","Daylight","No","No Apparent Injury","Eleven O Clock","Sport Utility Vehicle","Stopped in Traffic","Southbound","40","2021","TOYOTA","HIGHLANDER","39.17691567","-77.2700565","(39.17691567, -77.2700565)"
"09/26/2024 11:43:00 AM","Front to Rear","Cloudy","Dry","Daylight","No","No Apparent Injury","Six O Clock","Van - Cargo","Stopped in Traffic","Southbound","35","2019","RAM","CARGO VAN","39.07890492","-77.14214342","(39.07890492, -77.14214342)"
"09/26/2024 10:05:00 AM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Slowing or Stopping","Southbound","35","2016","VOLKSWAGEN","JETTA","39.11560992","-77.16661308","(39.11560992, -77.16661308)"
"09/26/2024 09:02:00 AM","Rear To Rear","Cloudy","Wet","Daylight","No","No Apparent Injury","Seven O Clock","Passenger Car","Backing","Unknown","25","2010","TOYOTA","PRIUS","39.05102646","-77.15942582","(39.05102646, -77.15942582)"
"09/26/2024 03:17:00 AM","Front to Rear","Rain","Wet","Dark - Lighted","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Accelerating","Northbound","25","2012","SUBARU","LEGACY","39.05159595","-77.06616954","(39.05159595, -77.06616954)"
"09/25/2024 09:30:00 PM","Single Vehicle","Rain","Wet","Dark - Not Lighted","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","40","2013","TOYOTA","COROLLA","39.2698601","-77.1880747","(39.2698601, -77.1880747)"
"09/25/2024 05:53:00 PM","Sideswipe, Same Direction","Cloudy","Wet","Daylight","No","No Apparent Injury","Nine O Clock","Bus - Transit","Moving Constant Speed","Southbound","30","2011","GILLIG","SHUTTLE BUS","39.01196526","-77.04147003","(39.01196526, -77.04147003)"
"09/25/2024 04:33:00 PM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Stopped in Traffic","Southbound","55","2018","TOYOTA","CAMRY","39.09947661","-76.93590784","(39.09947661, -76.93590784)"
"09/25/2024 03:00:00 PM","Other","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Slowing or Stopping","Westbound","35","2021","LEXUS","ES","39.19660552","-77.26554418","(39.19660552, -77.26554418)"
"09/25/2024 01:08:00 PM","Front to Rear","Rain","Wet","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Southbound","30","2013","SUBARU","LEGACY","39.164921","-77.16842967","(39.164921, -77.16842967)"
"09/25/2024 10:03:00 AM","Angle","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Sport Utility Vehicle","Turning Left","Southbound","15","2018","HONDA","HR-V","39.001249","-77.12623209","(39.001249, -77.12623209)"
"09/25/2024 08:54:00 AM","Sideswipe, Same Direction","Rain","Wet","Daylight","No","No Apparent Injury","Three O Clock","Bus - Transit","Leaving Traffic Lane","Eastbound","35","2017","GILLIG","CITY TRANSIT BUS","39.08582164","-77.1453662","(39.08582164, -77.1453662)"
"09/25/2024 07:25:00 AM","Rear To Side","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Southbound","25","2023","SUBARU","LEGACY","39.07712241","-76.95715682","(39.07712241, -76.95715682)"
"09/25/2024 05:42:00 AM","Angle","Rain","Wet","Dark - Lighted","No","No Apparent Injury","Three O Clock","Other Trucks","Entering Traffic Lane","Eastbound","20","2023","MACK","COWL-CHASSIS","39.03285469","-77.07499897","(39.03285469, -77.07499897)"
"09/24/2024 10:49:00 PM","Front to Rear","Rain","Wet","Dark - Lighted","No","No Apparent Injury","Six O Clock","Passenger Car","Moving Constant Speed","Southbound","40","1997","TOYOTA","COROLLA","39.10987058","-77.16045029","(39.10987058, -77.16045029)"
"09/24/2024 04:46:00 PM","Other","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Westbound","30","2009","GILLIG","LOW FLOOR BUS","39.029705","-77.02089667","(39.029705, -77.02089667)"
"09/24/2024 03:31:00 PM","Front to Rear","Rain","Wet","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Slowing or Stopping","Northbound","40","2024","SUBARU","ASCENT","39.1402415","-77.22176873","(39.1402415, -77.22176873)"
"09/24/2024 02:08:00 PM","Angle","Clear","Dry","Daylight","Yes","No Apparent Injury","Eleven O Clock","Sport Utility Vehicle","Accelerating","Southbound","40","2021","JEEP","WRANGLER","39.24827335","-77.27399755","(39.24827335, -77.27399755)"
"09/24/2024 12:32:00 PM","Angle","Clear","Dry","Daylight","Yes","No Apparent Injury","Twelve O Clock","Sport Utility Vehicle","Moving Constant Speed","Northbound","5","2024","MITSUBISHI","UNKNOWN","38.9972174","-77.02228513","(38.9972174, -77.02228513)"
"09/24/2024 10:49:00 AM","Front to Rear","Rain","Wet","Daylight","No","Possible Injury","Twelve O Clock","Sport Utility Vehicle","Moving Constant Speed","Westbound","35","2017","TOYOTA","RAV4","39.10314091","-77.17439389","(39.10314091, -77.17439389)"
"09/24/2024 10:07:00 AM","Front to Rear","Rain","Wet","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Westbound","25","2013","NISSAN","SENTRA","39.09329717","-76.98275733","(39.09329717, -76.98275733)"
"09/24/2024 07:40:00 AM","Sideswipe, Same Direction","Rain","Wet","Daylight","No","No Apparent Injury","Ten O Clock","Sport Utility Vehicle","Moving Constant Speed","Northbound","55","2021","HONDA","CR-V","39.09423753","-76.9388095","(39.09423753, -76.9388095)"
"09/23/2024 10:54:00 PM","Front to Rear","Rain","Wet","Dark - Lighted","No","No Apparent Injury","Five O Clock","Passenger Car","Moving Constant Speed","Southbound","35","2012","NISSAN","ROGUE","39.06132237","-77.05261474","(39.06132237, -77.05261474)"
"09/23/2024 05:14:00 PM","Angle","Rain","Wet","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Eastbound","55","2011","MERCEDES-BENZ","ML-CLASS","39.10550035","-76.91075746","(39.10550035, -76.91075746)"
"09/23/2024 02:10:00 PM","Sideswipe, Same Direction","Cloudy","Dry","Daylight","No","Possible Injury","One O Clock","Sport Utility Vehicle","Moving Constant Speed","Eastbound","40","2013","HYUNDAI","SANTA FE","39.1212015","-76.98958433","(39.1212015, -76.98958433)"
"09/23/2024 01:03:00 PM","Sideswipe, Opposite Direction","Clear","Dry","Daylight","No","No Apparent Injury","One O Clock","Passenger Car","Moving Constant Speed","Northbound","35","2019","SUBARU","FORESTER","39.15544867","-77.19214783","(39.15544867, -77.19214783)"
"09/23/2024 01:00:00 PM","Front to Rear","Clear","Dry","Daylight","No","Possible Injury","Six O Clock","Sport Utility Vehicle","Stopped in Traffic","Westbound","40","2013","HONDA","PILOT","39.10645","-77.15184","(39.10645, -77.15184)"
"09/23/2024 07:27:00 AM","Front to Rear","Clear","Dry","Dawn","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","30","2016","JEEP","WRANGLER","39.08167867","-77.1455652","(39.08167867, -77.1455652)"
"09/23/2024 07:05:00 AM","Angle","Rain","Wet","Daylight","No","No Apparent Injury","Seven O Clock","Passenger Car","Moving Constant Speed","Westbound","35","2014","KIA","FORTE","39.24061225","-77.26998845","(39.24061225, -77.26998845)"
"09/22/2024 07:20:00 PM","Single Vehicle","Clear","Dry","Dusk","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","35","2004","TOYOTA","4-RUNNER","39.01174272","-77.04134487","(39.01174272, -77.04134487)"
"09/22/2024 06:00:00 AM","Angle","Cloudy","Wet","Dawn","No","No Apparent Injury","Ten O Clock","Passenger Car","Moving Constant Speed","Southbound","35","2020","HYUNDAI","ELANTRA","39.0695362","-77.13082049","(39.0695362, -77.13082049)"
"09/21/2024 10:48:00 PM","Angle","Cloudy","Dry","Dark - Lighted","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Southbound","40","2015","BMW","328I","39.26475167","-77.21864667","(39.26475167, -77.21864667)"
"09/21/2024 10:04:00 PM","Rear To Side","Clear","Dry","Dark - Not Lighted","No","Suspected Minor Injury","Nine O Clock","Sport Utility Vehicle","Moving Constant Speed","Northbound","40","2018","TOYOTA","HIGHLANDER","39.26340845","-77.21947721","(39.26340845, -77.21947721)"
"09/21/2024 02:22:00 PM","Angle","Clear","Dry","Daylight","No","No Apparent Injury","Four O Clock","Passenger Car","Turning Left","Eastbound","40","2008","TOYOTA","YARIS","39.10994975","-77.30262788","(39.10994975, -77.30262788)"
"09/21/2024 12:30:00 PM","Sideswipe, Opposite Direction","Clear","Dry","Daylight","No","No Apparent Injury","Eleven O Clock","Passenger Car","Stopped in Traffic","Eastbound","35","2023","TESLA","MODEL S","39.18098512","-77.26244865","(39.18098512, -77.26244865)"
"09/20/2024 10:10:00 PM","Sideswipe, Opposite Direction","Clear","Dry","Dark - Lighted","No","No Apparent Injury","Ten O Clock","Passenger Car","Moving Constant Speed","Westbound","35","2021","HONDA","ACCORD","39.06929042","-77.04756858","(39.06929042, -77.04756858)"
"09/20/2024 09:10:00 PM","Angle","Clear","Dry","Dark - Lighted","No","No Apparent Injury","Two O Clock","Passenger Car","Moving Constant Speed","Eastbound","30","2007","TOYOTA","CAMRY","39.11752881","-77.25189772","(39.11752881, -77.25189772)"
"09/20/2024 05:20:00 PM","Other","Clear","Dry","Daylight","No","No Apparent Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Southbound","35","2018","AUDI","A4","39.02174301","-77.01520604","(39.02174301, -77.01520604)"
"09/20/2024 04:40:00 PM","Angle","Clear","Dry","Daylight","Yes","Possible Injury","Three O Clock","Passenger Car","Turning Left","Westbound","35","2007","HONDA","ODYSSEY","39.06714039","-77.07492264","(39.06714039, -77.07492264)"
"09/20/2024 04:35:00 PM","Front to Rear","Clear","Dry","Daylight","No","No Apparent Injury","Seven O Clock","Passenger Car","Making U-Turn","Northbound","35","2020","TOYOTA","COROLLA","38.99639379","-77.02777408","(38.99639379, -77.02777408)"
"09/20/2024 04:10:00 PM","Single Vehicle","Clear","Dry","Daylight","Yes","Suspected Serious Injury","Eleven O Clock","Sport Utility Vehicle","Moving Constant Speed","Southbound","45","2004","FORD","EXPEDITION","39.13766153","-77.25744632","(39.13766153, -77.25744632)"
"09/20/2024 03:48:00 PM","Sideswipe, Opposite Direction","Clear","Dry","Daylight","No","No Apparent Injury","One O Clock","Passenger Car","Moving Constant Speed","Westbound","35","2011","VOLVO","V50","39.08679949","-77.13516993","(39.08679949, -77.13516993)"
"09/20/2024 02:22:00 PM","Angle","Clear","Dry","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Turning Left","Southbound","35","2012","HONDA","CIVIC","39.05443896","-77.07952976","(39.05443896, -77.07952976)"
"09/20/2024 12:10:00 PM","Angle","Clear","Dry","Daylight","No","Possible Injury","Twelve O Clock","Passenger Car","Moving Constant Speed","Northbound","35","2014","TOYOTA","CAMRY","39.23927088","-77.27326477","(39.23927088, -77.27326477)"
"09/20/2024 09:03:00 AM","Front to Rear","Clear","Dry","Daylight","No","No Apparent Injury","Six O Clock","Passenger Car","Slowing or Stopping","Southbound","30","2015","FORD","EDGE","38.99694188","-77.02753602","(38.99694188, -77.02753602)"
"09/20/2024 07:10:00 AM","Other","Clear","Dry","Daylight","No","No Apparent Injury","Ten O Clock","Passenger Car","Moving Constant Speed","Northbound","40","2011","KIA","OPTIMA","39.0311324","-77.00480123","(39.0311324, -77.00480123)"
"09/19/2024 05:04:00 PM","Angle","Clear","Dry","Daylight","Yes","No Apparent Injury","One O Clock","Bus - Transit","Changing Lanes","Southbound","30","2008","GILLIG","LOW FLOOR BUS","39.09107349","-77.15363136","(39.09107349, -77.15363136)"
"09/19/2024 02:02:00 PM","Single Vehicle","Clear","Dry","Daylight","Yes","No Apparent Injury","Non-Collision","Passenger Car","Moving Constant Speed","Westbound","35","2006","CHEVROLET","EXPRESS","39.04521033","-77.10432437","(39.04521033, -77.10432437)"
"09/19/2024 07:26:00 AM","Front to Rear","Clear","Dry","Daylight","Yes","No Apparent Injury","Twelve O Clock","Passenger Car","Slowing or Stopping","Northbound","50","2016","NISSAN","NV200","39.06749083","-76.95940517","(39.06749083, -76.95940517)"
"09/18/2024 07:37:00 PM","Single Vehicle","Rain","Wet","Dark - Not Lighted","Yes","No Apparent Injury","Non-Collision","Passenger Car","Turning Left","Northbound","40","2021","MAZDA","CX-5","39.23162841","-77.25852302","(39.23162841, -77.25852302)"
"09/18/2024 02:08:00 PM","Front to Rear","Cloudy","Dry","Daylight","No","No Apparent Injury","Eight O Clock","Passenger Car","Stopped in Traffic","Southbound","35","2014","JEEP","GRAND CHEROKEE","38.98408556","-76.98840216","(38.98408556, -76.98840216)"
